net_id,delay,majority,disease,predator,overlap,agent,mixing,path,paint
50,1.51234051921379,3.55708615138205,33.130484,0.76778245,0.893796794871808,3.51229154713325,127.825273746874,109.002976493855,131.386668274654
51,1.19177289999843,3.07414059367113,31.982412,0.76657235,0.784449615384622,3.4298100002224,109.036427264268,89.7310954803347,118.371748307334
52,1.53393293572977,3.55688997659021,33.072036,0.7677122,0.882326410256423,3.50922764879935,127.618169401201,108.841505014191,131.261726253468
53,1.5135829710039,3.5560287451419,32.535208,0.7647848,0.884779914529929,3.44191680511682,125.695463706056,104.543799281349,129.367235843132
54,1.44559200487212,3.32820144238684,32.951624,0.76638595,0.832764316239325,3.50312878221669,124.34179580156,105.135659270981,129.597117350647
55,1.50686488092075,3.44954141474736,32.840496,0.76634365,0.829820982905993,3.46237291461156,124.306655331257,104.276010718259,129.89676668026
56,1.55562924703027,3.55633232515821,32.828312,0.7654263,0.890321709401723,3.4708635844125,126.740150060611,106.359033540142,130.410359466078
57,1.42831996945842,3.55756904259857,32.946452,0.7661709,0.883620085470099,3.49230593910362,127.031782271705,107.500193040553,130.680611634976
58,1.36777837227568,3.18803536528207,31.752252,0.76461515,0.791713846153851,3.40167981884649,116.418284262517,92.2839907230664,124.127794561994
59,1.4543453103142,3.26462515964162,32.764052,0.7656518,0.826223675213687,3.48888598061199,121.465121086626,101.637124948963,128.007553575364
60,1.4478276686681,3.52233003763125,30.827296,0.75558845,0.834800256410268,3.28408747280282,117.993860919592,94.2530435114696,121.76007807172
61,1.54395891826127,3.55795668316176,33.14396,0.76786605,0.899089829059844,3.50960906507562,127.734869115757,108.807433594086,131.319662498432
62,1.5396032046488,3.5551492425422,32.79884,0.7660058,0.874492350427363,3.46549103089201,126.415767975352,105.963943038607,130.158969497707
63,1.52364097588557,3.5487721079507,32.742204,0.76615385,0.873335769230781,3.47312663803478,126.282338909829,105.95847060521,129.979468892034
64,1.5012534374011,3.53586560398828,32.884796,0.76564,0.847049914529925,3.47528726536043,126.053964270181,105.997280981758,130.221758820723
65,1.36813176593742,3.25367936657773,32.151424,0.76199955,0.782949786324789,3.3787138103977,117.22250588682,95.6016507386455,124.689683303793
66,1.49868194495552,3.46355834141453,33.023836,0.766627,0.839511666666677,3.50524717468665,125.10994082602,105.930537808024,130.012549993171
67,1.42959612131611,3.477980014204,32.450536,0.7661183,0.823619188034194,3.42942913862526,124.182817839161,100.096843569962,128.700714394054
68,1.27657719694218,3.32342094444874,28.567088,0.7399479,0.706606452991448,3.09924812270674,104.09314702607,78.515148973454,109.26490595821
69,1.52125332606081,3.54973327176923,33.021176,0.7660959,0.871928504273517,3.49727022201666,127.170857040074,107.801980792053,130.882897201087
70,1.53202533693837,3.55551789516144,33.074748,0.76684005,0.894460555555571,3.51195324549292,127.593684303188,108.882005196246,131.182348071566
71,1.43982916347494,3.52100283808331,31.507092,0.76013805,0.798766880341886,3.31714297801032,120.32597386375,95.6859582870719,124.861916980967
72,1.55820196872394,3.54913964512023,32.90882,0.76722105,0.880170384615397,3.49071768626268,126.954886821972,107.340690837482,130.617439188865
73,1.5071225063131,3.5388179834255,32.487344,0.76256125,0.850844059829072,3.45041949001203,124.533896081611,103.266306375692,128.455930578062
74,1.45593884925495,3.56032474130851,32.296188,0.76362295,0.882620427350442,3.40016088574437,124.878455367312,102.209060406754,128.614851715769
75,1.4568329023449,3.45301799703661,32.720548,0.76479775,0.820181794871802,3.44829162931505,123.794668080741,102.438082913337,129.077300382782
76,1.27553109221612,3.43562962368795,29.031716,0.7360561,0.825490000000008,3.12064287125193,108.259129290703,83.0168382625583,111.426308802386
77,1.40962654323339,3.53815660974859,30.940828,0.7553419,0.857087649572661,3.2651533956676,118.891105686922,94.018442010912,122.558691673116
78,1.51607547493533,3.56003817424023,33.123776,0.76719205,0.896467051282067,3.51245689978523,127.773544976715,109.075847360693,131.341522278296
79,1.50714787119588,3.55895767304359,32.925476,0.76598375,0.885028888888903,3.48097419931603,126.968990571741,107.044571465916,130.636170170797
80,1.48541378410964,3.54376481282947,32.781828,0.76491715,0.856559059829071,3.4558302801347,125.891322074361,104.889830521795,129.842637330523
81,1.46163657891958,3.51716414551751,31.359844,0.7561685,0.849381880341892,3.35781231612702,119.668378292978,97.4166811699956,123.231004854376
82,1.47883614906131,3.48763859581131,32.553316,0.76575485,0.829055213675223,3.46050532846696,124.24281374581,101.31294082189,128.771062429714
83,1.48744722343087,3.55583897607387,31.727408,0.7611234,0.837993461538471,3.27957162409811,122.518144708585,95.5470133157093,126.656663059082
